rownames;year;violent;murder;robbery;prisoners;afam;cauc;male;population;income;density;state;law
9;1985;457.5;45878;105.4;256;8.562801;54.67899;16.85875;3.97252;10725.86;0.07825;Alabama;no
10;1986;558;45667;111.6;267;8.566521;54.51791;16.57609;3.991562;11091.62;0.0786251;Alabama;no
11;1987;559.2;45725;112.2;283;8.592103;54.3877;16.2823;4.015257;11323.82;0.0790919;Alabama;no
12;1988;558.6;45909;117.8;307;8.618144;54.23505;15.9927;4.023848;11654.960000000001;0.0792611;Alabama;no
13;1989;590.8;45698;133.9;300;8.638031;54.06622;15.675230000000001;4.030224;11963.900000000001;0.0793867;Alabama;no
14;1990;708.6;45819;143.7;328;8.699674;56.07016;15.3807;4.048508;12063.980000000001;0.0797736;Alabama;no
15;1991;844.2;45788;152.8;370;8.771641;55.97353;15.18314;4.091025;12087.820000000002;0.0806113;Alabama;no
16;1992;871.7;11;164.9;394;8.877969;55.80952;15.02558;4.139269;12398.02;0.081562;Alabama;no
17;1993;780.4;45819;159.5;407;8.972758;55.66076;14.86296;4.193114;12395.8;0.0826229;Alabama;no
18;1994;683.7;45911;171.2;431;9.047583;55.50783;14.67744;4.232965;12673.92;0.0834082;Alabama;no
19;1995;632.4;45699;185.8;450;9.094921;55.33187;14.54549;4.262731;12872.68;0.0839947;Alabama;no
55;1985;602.5;8;146.5;247;3.673841;65.33994;17.0261;3.183535;12786.210000000001;0.0280468;Arizona;no
56;1986;658.3;45725;169.2;256;3.72806;65.11162;16.73828;3.308262;13146.869999999999;0.0291456;Arizona;no
57;1987;612.6;45784;138.4;268;3.784642;64.77774;16.45066;3.437102;13269.01;0.0302807;Arizona;no
58;1988;610.1;45785;137;307;3.844388;64.44434;16.15664;3.535179;13299.390000000001;0.0311448;Arizona;no
59;1989;599.6;45844;139;328;3.903289;63.91225;15.89517;3.622176;13304.1;0.0319112;Arizona;no
60;1990;652.4;45845;160.9;350;3.964251;64.84599;15.65157;3.679056;13114.779999999999;0.0323741;Arizona;no
61;1991;670.7;45876;165.7;375;4.026213;64.48261;15.32617;3.762394;12838.55;0.0331074;Arizona;no
62;1992;670.8;45665;153.1;396;4.067532;64.29301;15.06402;3.867333;12873.01;0.0340308;Arizona;no
63;1993;715;45816;162.9;409;4.107062;64.02615;14.84015;3.99339;12922.88;0.0351401;Arizona;no
64;1994;703.1;45787;162;430;4.16112;64.19139;14.63248;4.147561;13288.130000000001;0.0364967;Arizona;no
65;1995;713.5;45757;173.8;459;4.210515;64.04899;14.52453;4.306908;13494.640000000001;0.0378989;Arizona;yes
